id,grade,treatment,score
1,third,garden,53.64474435
2,third,garden,62.45915772
3,third,garden,63.36892501
4,third,garden,59.95203525
5,third,garden,83.88663318
6,third,garden,63.2028093
7,third,garden,71.17770969
8,third,garden,49.14157695
9,third,garden,62.05398266
10,third,garden,34.30129742
11,third,garden,63.5198392
12,third,garden,42.97545255
13,third,garden,46.03851457
14,third,garden,48.84759305
15,third,garden,46.74541948
16,third,garden,43.34454437
17,third,garden,43.27286067
18,third,garden,50.45461237
19,third,garden,25.38618633
20,third,garden,18.20841272
21,third,garden,49.47963479
22,third,garden,25.87019307
23,third,garden,37.66377336
24,third,garden,67.75519225
25,third,garden,59.97368017
26,third,garden,43.63947844
27,third,garden,72.78285676
28,third,garden,90.19265784
29,third,garden,37.2832038
30,third,garden,52.78203492
31,third,garden,38.90217217
32,third,garden,59.06404845
33,third,garden,82.21766944
34,third,garden,58.09826557
35,third,garden,46.15222646
36,third,garden,49.55740185
37,third,garden,30.21205251
38,third,garden,48.45438154
39,third,garden,59.91880188
40,third,garden,23.04974923
41,third,garden,38.98210655
42,third,garden,72.90630808
43,third,garden,53.3159663
44,third,garden,42.7370105
45,third,garden,70.91101849
46,third,garden,55.49232738
47,third,garden,74.46775055
48,third,garden,28.67946518
49,third,garden,61.20330409
50,third,garden,58.63476608
51,third,garden,40.22184679
52,third,garden,48.74254564
53,third,garden,40.11848826
54,third,garden,27.91969793
55,third,garden,68.27397143
56,third,garden,65.43161723
57,third,garden,35.97043277
58,third,garden,42.67057834
59,third,garden,64.65029956
60,third,garden,26.62861291
61,third,garden,46.05759959
62,third,garden,57.41198197
63,third,garden,29.43682511
64,third,garden,71.8868457
65,third,garden,64.20721957
66,third,garden,30.37367217
67,third,garden,31.43639075
68,third,garden,47.67085548
69,third,garden,17.14393967
70,third,garden,68.24880413
71,third,garden,43.60064651
72,third,garden,51.62517078
73,third,garden,29.25874314
74,third,garden,61.52165205
75,third,garden,52.92886318
76,third,garden,35.55459977
77,third,garden,10.27070433
78,third,garden,59.50905913
79,third,garden,40.86660573
80,third,garden,12.17812333
81,third,garden,44.90935763
82,third,garden,48.70563619
83,third,garden,45.52972571
84,third,garden,43.52474054
85,third,garden,59.72816055
86,third,garden,53.0320052
87,third,garden,66.66670233
88,third,garden,11.81301572
89,third,control,49.99935009
90,third,control,44.24906057
91,third,control,37.85252091
92,third,control,43.82334196
93,third,control,28.70814256
94,third,control,31.32901926
95,third,control,56.00332282
96,third,control,40.77088792
97,third,control,39.91023538
98,third,control,43.5478868
99,third,control,44.61345522
100,third,control,50.04570536
101,third,control,37.37121412
102,third,control,22.2779971
103,third,control,61.26980052
104,third,control,63.51330692
105,third,control,59.72457999
106,third,control,64.85070323
107,third,control,26.79771098
108,third,control,50.34036231
109,third,control,59.73792714
110,third,control,27.2699245
111,third,control,33.97025728
112,third,control,64.38517763
113,third,control,45.42680382
114,third,control,44.05349798
115,third,control,35.76288604
116,third,control,31.08598732
117,third,control,28.01466906
118,third,control,33.39874091
119,third,control,30.41517631
120,third,control,43.45974816
121,third,control,16.65225684
122,third,control,32.70073416
123,third,control,21.74425158
124,third,control,39.68645913
125,third,control,30.76111771
126,third,control,46.38301169
127,third,control,48.78371156
128,third,control,54.7215489
129,third,control,48.52726192
130,third,control,54.4574591
131,third,control,25.51245587
132,third,control,55.52297082
133,third,control,57.01908033
134,third,control,52.18430052
135,third,control,53.40513697
136,third,control,84.23785249
137,third,control,11.4565785
138,third,control,21.39239056
139,third,control,52.33475593
140,third,control,47.23503451
141,third,control,71.84275481
142,third,control,49.03680851
143,third,control,59.09169473
144,third,control,23.47280308
145,third,control,35.41331623
146,third,control,44.3222313
147,third,control,32.6551848
148,third,control,68.79289848
149,third,control,45.37249048
150,third,control,55.20378718
151,third,control,68.87297361
152,third,control,33.52120044
153,third,control,18.94411646
154,third,control,23.30453144
155,third,control,41.58052542
156,third,control,39.2398327
157,third,control,45.25072163
158,third,control,43.35885911
159,third,control,45.49417046
160,third,control,49.28265162
161,third,control,46.94802352
162,third,control,21.32738328
163,third,control,53.61676645
164,third,control,15.17676417
165,third,control,55.90683682
166,fourth,garden,55.52362671
167,fourth,garden,69.26379575
168,fourth,garden,56.94604816
169,fourth,garden,50.9119028
170,fourth,garden,42.63706232
171,fourth,garden,62.10362598
172,fourth,garden,50.74080732
173,fourth,garden,59.70140894
174,fourth,garden,19.09928221
175,fourth,garden,42.87101945
176,fourth,garden,63.16107541
177,fourth,garden,35.46805801
178,fourth,garden,47.61592804
179,fourth,garden,57.42821984
180,fourth,garden,60.05120707
181,fourth,garden,7.899556899
182,fourth,garden,47.97350603
183,fourth,garden,35.92805224
184,fourth,garden,47.42911806
185,fourth,garden,40.53797974
186,fourth,garden,53.7453169
187,fourth,garden,39.80629337
188,fourth,garden,35.32121329
189,fourth,garden,70.21169084
190,fourth,garden,49.64888771
191,fourth,garden,38.09314643
192,fourth,garden,62.82758396
193,fourth,garden,53.65034605
194,fourth,garden,55.0360866
195,fourth,garden,30.22712182
196,fourth,garden,73.9116727
197,fourth,garden,33.55949822
198,fourth,garden,44.76359983
199,fourth,garden,62.044243
200,fourth,garden,56.22042455
201,fourth,garden,45.17819468
202,fourth,garden,13.98322411
203,fourth,garden,50.59916928
204,fourth,garden,20.63489274
205,fourth,garden,75.00204629
206,fourth,garden,46.06993975
207,fourth,garden,48.0020652
208,fourth,garden,36.13862474
209,fourth,garden,28.63444242
210,fourth,garden,39.4673733
211,fourth,garden,36.16950905
212,fourth,garden,76.48885698
213,fourth,garden,50.26764497
214,fourth,garden,47.82065835
215,fourth,garden,57.38199051
216,fourth,garden,60.17867527
217,fourth,garden,79.60469565
218,fourth,garden,85.26043671
219,fourth,garden,50.47584021
220,fourth,garden,48.02321349
221,fourth,garden,22.02325752
222,fourth,garden,56.16666596
223,fourth,garden,30.07131236
