Year,01-04 Years,05-09 Years,10-14 Years,15-19 Years
1900,0.019838,0.004661,0.002983,0.004848
1901,0.01695,0.004276,0.002736,0.004544
1902,0.016557,0.004033,0.002525,0.004215
1903,0.015421,0.004147,0.002682,0.004341
1904,0.015915,0.00425,0.003052,0.004714
1905,0.014989,0.003963,0.002798,0.004393
1906,0.0158,0.003774,0.002722,0.004452
1907,0.014683,0.003656,0.002658,0.004377
1908,0.013968,0.003542,0.002479,0.003977
1909,0.013489,0.003302,0.002305,0.003636
1910,0.013973,0.003484,0.002359,0.003719
1911,0.01176,0.0031,0.002222,0.00366
1912,0.010941,0.002875,0.002022,0.003472
1913,0.011934,0.003177,0.002148,0.003603
1914,0.010242,0.002916,0.002072,0.003405
1915,0.009242,0.002606,0.001967,0.003309
1916,0.011115,0.002824,0.002051,0.003558
1917,0.01066,0.002907,0.002189,0.003803
1918,0.015735,0.004479,0.003751,0.007774
1919,0.00928,0.003,0.002364,0.004385
1920,0.009872,0.002952,0.002299,0.004029
1921,0.008012,0.002814,0.002099,0.003265
1922,0.00742,0.002396,0.001866,0.003196
1923,0.008067,0.0024,0.001882,0.003258
1924,0.006832,0.002217,0.001798,0.003135
1925,0.00641,0.002115,0.00181,0.00314
1926,0.007234,0.002138,0.001714,0.003075
1927,0.00591,0.002083,0.001675,0.002895
1928,0.006475,0.002131,0.001738,0.003078
1929,0.006255,0.00208,0.00165,0.00298
1930,0.005636,0.001898,0.001528,0.002778
1931,0.005266,0.00182,0.001503,0.002635
1932,0.004619,0.001659,0.001422,0.002375
1933,0.004726,0.001613,0.00138,0.002234
1934,0.005077,0.001651,0.001415,0.00224
1935,0.004409,0.001624,0.001434,0.002223
1936,0.004398,0.001546,0.00141,0.002304
1937,0.004187,0.001429,0.001283,0.00219
1938,0.003838,0.001288,0.001138,0.001923
1939,0.003183,0.001126,0.001065,0.001798
1940,0.002896,0.001083,0.000995,0.001716
1941,0.002799,0.001038,0.000947,0.00169
1942,0.002434,0.000961,0.000858,0.001547
1943,0.002564,0.001031,0.000906,0.00164
1944,0.00233,0.000987,0.000897,0.001579
1945,0.00203,0.000936,0.000868,0.001523
1946,0.001815,0.000856,0.000786,0.001378
1947,0.001608,0.000733,0.000679,0.001268
1948,0.001601,0.000706,0.000656,0.001187
1949,0.001502,0.000682,0.000636,0.001118
1950,0.001394,0.000617,0.000581,0.001086
1951,0.001369,0.000617,0.000564,0.001089
1952,0.001411,0.000613,0.000568,0.001144
1953,0.0013,0.000561,0.000531,0.001069
1954,0.001183,0.000525,0.000478,0.000961
1955,0.001134,0.000506,0.000466,0.000973
1956,0.001102,0.000483,0.000463,0.000972
1957,0.001118,0.000501,0.000474,0.001002
1958,0.001117,0.000484,0.000446,0.000915
1959,0.001069,0.000494,0.000458,0.000928
1960,0.001091,0.00049,0.00044,0.000922
1961,0.001017,0.000458,0.000419,0.000881
1962,0.000992,0.000456,0.000419,0.000876
1963,0.001015,0.000453,0.000412,0.000905
1964,0.000985,0.000446,0.000416,0.000939
1965,0.000959,0.000439,0.000405,0.000953
1966,0.000964,0.000443,0.000411,0.00102
1967,0.000894,0.000429,0.000405,0.001021
1968,0.000896,0.000445,0.000416,0.001081
1969,0.00088,0.00044,0.000413,0.001135
1970,0.000845,0.000421,0.000406,0.001103
1971,0.000823,0.00042,0.000399,0.001103
1972,0.000804,0.000408,0.000404,0.001104
1973,0.00079,0.000411,0.000403,0.00111
1974,0.000733,0.000372,0.000383,0.001048
1975,0.000699,0.000352,0.000353,0.001002
1976,0.000688,0.000341,0.000342,0.000957
1977,0.000676,0.000333,0.000346,0.000998
1978,0.000679,0.000327,0.000337,0.000989
1979,0.000642,0.000311,0.000318,0.000988
1980,0.000639,0.000304,0.000308,0.000979
1981,0.000606,0.000291,0.000295,0.0009
1982,0.000582,0.000283,0.000282,0.000854
1983,0.000561,0.000265,0.000273,0.000811
1984,0.000522,0.000253,0.000283,0.000804
1985,0.000518,0.00025,0.00028,0.000805
1986,0.000524,0.000239,0.000286,0.000862
1987,0.000521,0.000247,0.000271,0.000835
1988,0.000515,0.000245,0.000277,0.000867
1989,0.000498,0.000241,0.000274,0.000859
1990,0.000468,0.000222,0.00026,0.000879
1991,0.000474,0.000215,0.000256,0.000887
1992,0.000435,0.000203,0.000244,0.000836
1993,0.000446,0.00021,0.000253,0.000858
1994,0.000427,0.000197,0.000248,0.000855
1995,0.000404,0.000194,0.000251,0.000821
1996,0.00038,0.00019,0.000234,0.000775
1997,0.000355,0.00018,0.000225,0.000736
1998,0.000341,0.000172,0.000215,0.000695
1999,0.000342,0.000169,0.000204,0.000686
2000,0.000324,0.000158,0.000203,0.000671
2001,0.000334,0.000153,0.000191,0.000663
2002,0.000314,0.000152,0.000194,0.00067
2003,0.000318,0.000148,0.000189,0.000654
2004,0.000303,0.000148,0.000184,0.000649
2005,0.000299,0.000146,0.000177,0.000638
2006,0.000291,0.00014,0.000162,0.00063
2007,0.000294,0.000138,0.000165,0.000603
2008,0.000293,0.000126,0.000152,0.000559
2009,0.000274,0.000125,0.000151,0.000519
2010,0.000265,0.000115,0.000143,0.000494
2011,0.000263,0.000121,0.000142,0.000489
2012,0.000263,0.000114,0.000139,0.000472
2013,0.000255,0.000118,0.000141,0.000448
2014,0.00024,0.000115,0.00014,0.000455
2015,0.000249,0.000117,0.000146,0.000483
2016,0.000253,0.000122,0.000146,0.000512
2017,0.000243,0.000116,0.000155,0.000515
2018,0.00024,0.000115,0.000149,0.000492
